customer_id,campaign_id,interaction_date,channel,opened,clicked,converted
C000001,CAMP007,2026-06-04,Email,1,1,1
C000001,CAMP004,2026-05-16,Email,1,0,0
C000001,CAMP002,2026-07-22,Email,0,0,0
C000001,CAMP001,2026-07-23,Email,1,0,0
C000001,CAMP006,2026-05-26,Mobile App,0,0,0
C000001,CAMP005,2026-08-11,Mobile App,1,1,0
C000002,CAMP005,2026-04-14,Email,0,0,0
C000002,CAMP002,2026-05-08,Email,1,0,0
C000002,CAMP003,2026-08-22,Email,0,0,0
C000002,CAMP001,2026-05-16,Email,0,0,0
C000003,CAMP002,2026-04-05,Mobile App,1,1,0
C000003,CAMP004,2026-07-08,Email,1,0,0
C000003,CAMP003,2026-05-18,Mobile App,1,0,0
C000003,CAMP006,2026-05-09,Mobile App,1,0,0
C000003,CAMP008,2026-06-13,Mobile App,1,0,0
C000003,CAMP005,2026-07-22,Mobile App,0,0,0
C000003,CAMP001,2026-06-09,Email,0,0,0
C000004,CAMP008,2026-04-20,Mobile App,0,0,0
C000004,CAMP003,2026-07-03,Mobile App,1,0,0
C000004,CAMP007,2026-07-28,Email,1,0,0
C000004,CAMP006,2026-04-22,Email,1,1,0
C000004,CAMP001,2026-04-29,Email,0,0,0
C000005,CAMP002,2026-06-21,Email,1,0,0
C000005,CAMP008,2026-05-09,Mobile App,1,1,0
C000005,CAMP006,2026-06-28,Email,0,0,0
C000005,CAMP007,2026-04-23,Mobile App,0,0,0
C000006,CAMP001,2026-05-06,Mobile App,1,0,0
C000006,CAMP006,2026-07-18,Email,1,0,0
C000006,CAMP003,2026-04-14,Email,0,0,0
C000006,CAMP002,2026-08-22,Mobile App,1,0,0
C000006,CAMP005,2026-06-11,Email,1,0,0
C000006,CAMP007,2026-08-05,Email,0,0,0
C000007,CAMP002,2026-07-12,Email,1,0,0
C000007,CAMP004,2026-06-30,Email,0,0,0
C000007,CAMP001,2026-08-24,Email,1,1,1
C000008,CAMP006,2026-06-30,Email,0,0,0
C000008,CAMP002,2026-07-07,Mobile App,1,0,0
C000008,CAMP001,2026-07-17,Email,1,0,0
C000008,CAMP008,2026-07-10,Mobile App,0,0,0
C000008,CAMP003,2026-04-14,Mobile App,0,0,0
C000008,CAMP007,2026-08-11,Email,0,0,0
C000008,CAMP004,2026-06-14,Email,0,0,0
C000009,CAMP004,2026-04-16,Email,0,0,0
C000009,CAMP007,2026-06-29,Mobile App,0,0,0
C000009,CAMP002,2026-06-18,Mobile App,1,0,0
C000009,CAMP003,2026-05-29,Mobile App,1,0,0
C000009,CAMP008,2026-04-06,Email,1,1,0
C000009,CAMP006,2026-06-23,Email,1,0,0
C000010,CAMP006,2026-05-07,Email,0,0,0
C000010,CAMP002,2026-05-16,Mobile App,0,0,0
C000010,CAMP001,2026-06-01,Mobile App,0,0,0
C000011,CAMP004,2026-04-20,Email,0,0,0
C000011,CAMP003,2026-04-21,Email,0,0,0
C000011,CAMP005,2026-05-26,Mobile App,1,0,0
C000011,CAMP006,2026-04-13,Mobile App,1,1,1
C000011,CAMP002,2026-08-14,Email,1,1,0
C000011,CAMP007,2026-06-22,Email,1,0,0
C000012,CAMP007,2026-06-12,Email,0,0,0
C000012,CAMP003,2026-06-06,Email,0,0,0
C000012,CAMP008,2026-06-02,Email,0,0,0
C000012,CAMP001,2026-05-24,Email,0,0,0
C000012,CAMP002,2026-05-27,Mobile App,1,0,0
C000013,CAMP002,2026-05-13,Email,0,0,0
C000013,CAMP003,2026-04-10,Email,1,0,0
C000013,CAMP005,2026-07-24,Email,1,0,0
C000013,CAMP008,2026-07-04,Email,1,0,0
C000013,CAMP001,2026-05-08,Mobile App,1,0,0
C000013,CAMP004,2026-08-24,Mobile App,1,0,0
C000014,CAMP005,2026-07-07,Mobile App,1,1,0
C000014,CAMP008,2026-08-14,Email,1,0,0
C000014,CAMP004,2026-06-15,Mobile App,1,1,0
C000015,CAMP002,2026-06-03,Mobile App,1,1,0
C000015,CAMP001,2026-05-19,Email,0,0,0
C000015,CAMP005,2026-07-10,Mobile App,0,0,0
C000015,CAMP007,2026-06-27,Mobile App,1,1,0
C000015,CAMP008,2026-07-28,Mobile App,0,0,0
C000015,CAMP006,2026-05-09,Email,1,1,0
C000015,CAMP004,2026-08-12,Mobile App,0,0,0
C000016,CAMP006,2026-06-30,Mobile App,0,0,0
C000016,CAMP005,2026-05-25,Mobile App,0,0,0
C000016,CAMP008,2026-04-03,Email,0,0,0
C000016,CAMP007,2026-07-09,Email,1,0,0
