customer_id,product_id,holding_start_date,product_value,status
C000001,P001,2024-08-01,61722.44,Active
C000001,P003,2026-02-08,48233.1,Active
C000001,P007,2022-05-04,27893.45,Active
C000002,P001,2026-07-05,47242.43,Active
C000002,P003,2025-02-08,48022.85,Active
C000002,P007,2024-10-08,22429.42,Active
C000003,P001,2024-06-25,35194.69,Active
C000003,P003,2025-03-28,4276.95,Active
C000004,P003,2025-10-15,32388.19,Active
C000004,P006,2019-12-06,60183.29,Active
C000004,P007,2023-11-29,157760.46,Active
C000005,P001,2020-08-16,28134.52,Active
C000005,P004,2022-09-05,254427.69,Active
C000006,P001,2025-11-22,39265.58,Active
C000006,P003,2025-08-14,2851.69,Active
C000006,P004,2022-05-16,27600.88,Active
C000006,P006,2025-09-10,27201.49,Active
C000007,P001,2018-10-06,156595.85,Active
C000007,P002,2013-08-06,157017.96,Active
C000007,P003,2026-05-14,153645.32,Active
C000007,P004,2022-04-23,40037.99,Active
C000007,P006,2013-03-26,136631.02,Active
C000008,P001,2024-03-11,11478.48,Active
C000008,P004,2023-12-20,3505.5,Active
C000009,P001,2026-02-17,5690.65,Active
C000009,P002,2025-04-24,16667.53,Active
C000009,P005,2025-10-02,5128.93,Active
C000009,P006,2025-10-19,16605.84,Active
C000010,P001,2016-10-17,1696.99,Active
C000010,P004,2015-01-29,1564.32,Active
C000010,P005,2017-06-13,1949.64,Active
C000011,P001,2022-07-28,26976.43,Active
C000012,P001,2024-01-16,46306.84,Active
C000012,P002,2021-08-06,69978.23,Active
C000012,P003,2025-02-19,118060.74,Active
C000012,P006,2022-05-23,21731.42,Active
C000012,P008,2023-10-05,85035.98,Active
C000013,P001,2024-05-23,71467.69,Active
C000013,P004,2025-05-09,18573.26,Active
C000013,P006,2026-01-20,34976.28,Active
C000014,P001,2022-07-13,51003.36,Active
C000014,P002,2024-03-20,16726.02,Active
C000014,P003,2025-09-09,32234.21,Active
C000014,P006,2025-08-15,112055.13,Active
C000014,P007,2026-04-14,10367.5,Active
C000014,P008,2025-10-10,42149.36,Active
C000015,P001,2021-08-21,22338.37,Active
C000016,P001,2025-08-21,8681.25,Active
C000016,P003,2025-05-15,5076.2,Active
C000017,P001,2022-02-05,62593.71,Active
C000018,P001,2023-05-13,183960.27,Active
